연도,계약명,수행용역
2009,당진1지 도시개발 내 공동,"일조, 조망"
2009,중동(동진원) 도 개발 공동,소음예측
2009,중동(동진원) 도 개발 공동,소음실측
2009,중동(동진원) 도 개발 공동,친환경건축물 인증
2009,중동(동진원) 도 개발 공동,주택 성능등급인정
2011,용인 중동(동진원) A3-블럭 공동,소음예측
2011,용인 중동(동진원) A3-블럭 공동,"일조, 조망"
2009,성남 판교 A19-1,친환경건축물 인증
2009,인천 청라지 29 BBL공동,소음예측
2009,인천 청라지 29 BBL공동,에너지 효율등급평가
2009,인천 청라지 29 BBL공동,주택 성능등급인정
2009,서부권 소포우편,기술제안
2009,청라지 A-19BL공동,교육환경
2009,대전 서구 변동,CFD
2009,천안부지,기술제안
2009,동홍천 양양,기술제안
2009,인천 청라지 A-7BL공동,건축물 에너지효율등급
2009,육 연천병영,기술제안
2009,강남 N-Tower,친환경건축물 인증
2009,태권도공원,기술제안
2009,연세대,친환경건축물 인증
2009,서울 추모공원(화장 설),기술제안
2009,서울 추모공원(화장 설),친환경건축물 인증
2009,교보생명 본사사옥 리,소음실측
2009,교보생명 본사사옥 리,친환경건축물 인증
2009,건축물외피 환경성능,연구용역
2009,적성-전곡 도로,기술제안
2009,융복합 모듈 환경성능,연구용역
2009,금강살리기 행복지 생태하천,기술제안
2009,인천 청라지 9 BBL공동,주택 성능등급인정
2009,청진1지 도시환경정비,"에너지 시뮬레이션, 기계설비 성능점검"
2009,청진1지 도시환경정비,친환경건축물 인증
2009,인천 청라지 A-35BL공동,주택 성능등급인정
2009,인천 청라지 A-35BL공동,건축물 에너지효율등급
2009,05성남판교지,친환경건축물 인증
2009,경부고속철도 제10 1,기술제안
2009,인천 계양 동양지 벽산블루밍,소음예측
2009,롯데자산개발 수원역 쇼핑,기술제안
2010,인덕마을,소음예측
2010,인덕마을,건축물 에너지효율등급
2010,인덕마을,친환경건축물 인증
2010,인덕마을,주택 성능등급인정
2009,남양주 별내지 A6-1공동,건축물 에너지효율등급
2009,남양주 별내지 A6-1공동,주택 성능등급인정
2009,남양주 별내지 A6-1공동,소음예측
2009,이수1 특별,건축물 에너지효율등급
2009,이수1 특별,친환경건축물 인증
2009,수원 I'PARK CITY C1-C3-,건축물 에너지효율등급
2009,수원 I'PARK CITY C1-C3-,주택 성능등급인정
2009,보령~태안 2공 기술제안,기술제안
2009,교하신도 복합커뮤니티,기술제안
2009,김포한강신도 AC-11블럭,기술제안
2009,파주 운정택지개발지 A16-블럭 자체 중...,주택 성능등급인정
2009,파주 운정택지개발지 A16-블럭 공동,주택 성능등급인정
2009,경전선 삼랑진 진주 제9,기술제안
2009,양주 덕정지 일성트루엘,주택 성능등급인정
2009,역삼동 태보빌딩,친환경건축물 인증
2009,GREE N,친환경건축물 인증
2009,수원 정자동 공동,건축물 에너지효율등급
2009,수원 정자동 공동,"일조, 조망"
2009,수원 정자동 공동,CFD
2009,수원 정자동 공동,"에너지 시뮬레이션, 기계설비 성능점검"
2009,수원 정자동 공동,친환경건축물 인증
2009,수원 정자동 공동,주택 성능등급인정
2009,남양주별내 A12-2,소음예측
2010,인천십정2 주거환경개선 역 공동,소음예측
2010,인천십정2 주거환경개선 역 공동,건축물 에너지효율등급
2010,인천십정2 주거환경개선 역 공동,친환경건축물 인증
2010,인천십정2 주거환경개선 역 공동,주택 성능등급인정
2010,인천십정2 주거환경개선 역 공동,"일조, 조망"
2009,검증,에너지절약계획서
2009,포스코,친환경건축물 인증
2009,경남혁신도 서측진입교량 가설,기술제안
2009,김포한강신도 A,기술제안
2009,성남금광(1)지,소음예측
2009,SK케미칼,"LEED, BREEAM, GSAS"
2010,청라국제타운 A1-A2-블록,친환경건축물 인증
2010,청라국제타운 A1-A2-블록,건축물 에너지효율등급
2010,청라국제타운 A1-A2-블록,주택 성능등급인정
2010,청라국제타운 A1-A2-블록,소음예측
2012,송도 F21-,소음예측
2012,송도 F21-,건축물 에너지효율등급
2012,송도 F21-,"일조, 조망"
2012,송도 F21-,Barrier Free
2012,송도 F21-,주택 성능등급인정
2009,특수전 사령부/제3공수 특전여단 이전,기술제안
2009,영종하늘도 36 B,건축물 에너지효율등급
2009,영종하늘도 36 B,주택 성능등급인정
2009,뚝도정수,기술제안
2009,김포 한강신도 AC-01블록 공동,친환경건축물 인증
2009,김포 한강신도 AC-01블록 공동,주택 성능등급인정
2009,신전중 외 5개교 임대형민자,친환경건축물 인증
2010,신전중 외 2개교 임대형민자,친환경건축물 인증
2009,고양 삼송 A-08BL공동,소음예측
